rank,frequency,lemma,indonesia
2560,27.19,結ぶ,Sambung
2561,27.17,最,Puncak
2562,27.17,下げる,Lebih rendah.
2563,27.12,削減,Reduksi
2564,27.12,Ｍ,M
2565,27.11,青年,Anak muda.
2566,27.11,我が国,Negaraku.
2567,27.1,助ける,Aku akan membantumu.
2568,27.1,役立つ,Ini berguna.
2569,27.1,しかしながら,(Tawa)
2570,27.08,つぶやき,Menggerutu
2571,27.06,劇場,Teater
2572,27.06,向く,Aku segera ke sana.
2573,27.05,強調,Sorot
2574,27.03,要するに,"Intinya adalah,"
2575,27.0,防衛,Pembela.
2576,26.98,ロンドン,London.
2577,26.96,世界中,Sekeliling Dunia
2578,26.96,初期,Awal
2579,26.96,ホ,Uh-oh.
2580,26.94,機構,Organisasi
2581,26.93,どうやら,Sepertinya.
2582,26.9,床,Di lantai.
2583,26.89,真剣,Aku serius.
2584,26.86,おすすめ,Sama-sama.
2585,26.86,講義,Kelas
2586,26.85,術,Art
2587,26.83,対処,Menghadapi
2588,26.83,隊,Mari kita pergi!
2589,26.83,読める,Aku bisa membaca.
2590,26.82,実質,Realistis
2591,26.79,貴重,Ini sangat berharga.
2592,26.79,メートル,m
2593,26.78,もしくは,Atau
2594,26.77,収集,Mengumpulkan
2595,26.76,▽,Ini hanya masalah waktu.
2596,26.74,工夫,Inovasi.
2597,26.74,大手,Orang penting.
2598,26.73,じゃあ,Bye.
2599,26.72,諸国,Bangsa - Bangsa
2600,26.7,幅,Lebar
2601,26.7,蠅,itu hanya masalah waktu sebelum terlambat.
2602,26.7,そば,Tutup
2603,26.68,迫る,Aku harus keluar dari sini.
2604,26.68,監視,Perhatikan.
2605,26.67,リーダー,Pemimpin
2606,26.66,認定,Disertifikasi
2607,26.66,必ずしも,Belum tentu.
2608,26.66,文庫,Pustaka
2609,26.65,サーバー,Server
2610,26.61,各種,Variances
2611,26.61,節,Paragraf
2612,26.59,福岡,Zheng
2613,26.57,肩,Bahu.
2614,26.57,反,Balik
2615,26.56,すると,Dan kemudian...
2616,26.56,券,Tiket.
2617,26.53,意外,Aku tidak mengharapkan itu.
2618,26.47,帰り,Aku akan pulang.
2619,26.47,容疑,Tuduhan
2620,26.47,命令,Perintah.
2621,26.47,明治,Akiji.
2622,26.46,向こう,Di sana.
2623,26.46,根本,Akarnya
2624,26.45,重視,Ini penting.
2625,26.44,ワン,Satu.
2626,26.41,時々,Kadang-kadang.
2627,26.41,指,Jari
2628,26.38,依存,Ketergantungan
2629,26.37,医学,MEDICINE
2630,26.36,手続,Kami sedang mengusahakannya.
2631,26.36,けっこう,"Tidak, terima kasih."
2632,26.33,株主,Pemegang Saham
2633,26.33,プラス,Plus.
2634,26.32,行ける,Mari kita pergi.
2635,26.3,刺激,Stimulasi
2636,26.28,合理,Itu masuk akal.
2637,26.27,中間,Tengah
2638,26.26,鉄道,Rel
2639,26.25,ゆ,Sw.
2640,26.23,従う,Patuhi
2641,26.23,暗い,Gelap.
2642,26.19,入手,Ambil.
2643,26.19,才,Jenius.
2644,26.19,名古屋,Nagoya
2645,26.18,叫ぶ,Aku akan berteriak.
2646,26.18,めぐる,Ganti.
2647,26.16,現,Di sini.
2648,26.16,こんにちは,Halo.
2649,26.16,注,Payudara
2650,26.1,組む,Formulir
2651,26.08,相,Saudaraku.
2652,26.05,ロー,Lo.
2653,26.04,印刷,Cetak
2654,26.02,帰国,Homecoming
2655,26.01,発揮,Ya.
2656,25.99,市町村,Kota
2657,25.98,何らかの,Semacam...
2658,25.96,規則,Aturan
2659,25.93,賃金,Bayar
2660,25.93,一致,Cocok
2661,25.91,バージョン,Versi
2662,25.91,奥,Mundur
2663,25.89,マーケティング,Pemasaran
2664,25.87,主体,Cyclone
2665,25.87,トラブル,Masalah.
2666,25.86,原告,Penggugat.
2667,25.86,経る,Langkah demi langkah.
2668,25.84,部長,"Hei, bos."
2669,25.83,習慣,Kebiasaan
2670,25.83,筆者,Penulis
2671,25.81,以内,Penyusup
2672,25.81,だり,Aku tidak tahu.
2673,25.79,カナダ,"(Untuk keterangan lengkap, lihat publikasinya)"
2674,25.78,校,Sekolah
2675,25.74,ロック,Kunci
2676,25.74,模様,Rancangan
2677,25.72,日曜日,Minggu
2678,25.72,目立つ,Dia ada benarnya.
2679,25.7,速度,Kecepatan
2680,25.69,焼く,Bakar.
2681,25.69,外部,Outer
2682,25.68,抵抗,Melawan.
2683,25.68,各国,Bangsa - Bangsa
2684,25.68,重ねる,Maafkan aku.
2685,25.64,かねる,Ini akan berhasil.
2686,25.62,ワールドカップ,Piala Dunia.
2687,25.62,会見,PERTEMUAN
2688,25.61,定期,Reguler
2689,25.57,市内,Kota
2690,25.57,混乱,Kebingungan
2691,25.51,医者,Dokter.
2692,25.51,自殺,Bunuh Diri
2693,25.47,都合,Kontemplat
2694,25.46,幸い,"Yah, aku senang untuk Anda."
2695,25.45,検証,Verifikasi
2696,25.44,概要,Ringkasan
2697,25.44,温泉,sumber air panas
2698,25.43,ジョン,John.
2699,25.43,参る,"Oh, Tuhan."
2700,25.42,神様,"Oh, Tuhan."
2701,25.4,漢字,Karakter Cina
2702,25.38,ごく,Sangat.
2703,25.38,踏まえる,Aku bisa berjalan.
2704,25.38,役に立つ,Ini berguna.
2705,25.38,杯,Secangkir.
2706,25.37,レース,Ras
2707,25.37,ご飯,Makan malam.
2708,25.36,さっき,Baru saja.
2709,25.36,賛成,Aku setuju.
2710,25.32,緑,Hijau
2711,25.3,迷う,Aku tersesat.
2712,25.29,民主党,Partai Demokrat.
2713,25.28,欧州,EROPA
2714,25.27,帰宅,Pulanglah.
2715,25.25,城,Kastil
2716,25.25,シーズン,Seasons
2717,25.25,筋,MUKJIZAT
2718,25.23,たとえ,Bahkan jika.
2719,25.23,天皇,Kaisar.
2720,25.21,前半,A.D.H.
2721,25.18,ともかく,Aku tidak tahu.
2722,25.18,重大,THE SAKRIFICE
2723,25.17,流,Rutin
2724,25.12,ゴルフ,Golf
2725,25.1,ユーザ,Pengguna
2726,25.1,題,Judul
2727,25.09,録音,Rekam
2728,25.09,運,Keberuntungan
2729,25.04,必須,Diperlukan
2730,25.03,林,Hutan
2731,25.02,不満,Ketidakpuasan
2732,25.02,可愛い,Dia manis.
2733,25.02,流通,Mari kita lihat cara kerjanya.
2734,25.0,我が家,Rumah.
2735,24.99,扱い,Mengobati
2736,24.97,重,Berat
2737,24.96,原理,Prinsip
2738,24.95,比,Rasio
2739,24.94,嘘,Kau bohong.
2740,24.94,多,Multiplicit
2741,24.94,株価,Harga Stok
2742,24.91,想定,Aku berasumsi.
2743,24.88,手続き,Prosedur
2744,24.84,要請,Permintaan
2745,24.83,楽器,Instrumen Musikal
2746,24.82,詩,Puisi
2747,24.81,村上,Desa
2748,24.8,容易,Mudah
2749,24.79,廃止,Tekad
2750,24.76,魂,Soul
2751,24.76,綺麗,Indah sekali.
2752,24.75,イスラエル,ISRAEL
2753,24.74,今月,Bulan ini
2754,24.72,亡くなる,Dia sudah mati.
2755,24.72,興味深い,Menarik.
2756,24.71,滞在,Tinggal
2757,24.7,いったい,Apa-apaan ini?
2758,24.7,上手い,Itu bagus.
2759,24.7,各地,Kemanapun kau pergi.
2760,24.69,従業,Kantor
2761,24.68,伸びる,Perkecil
2762,24.65,読書,Membaca
2763,24.65,確定,Aku yakin itu.
2764,24.62,合計,Total
2765,24.61,浮かぶ,Aku akan mengapung.
2766,24.59,ヒット,Hit
2767,24.59,ＨＰ,HP
2768,24.59,モード,Mode
2769,24.59,しょう,"Oh, Tuhan."
2770,24.58,タクシー,Taksi.
2771,24.55,発信,Transmisi
2772,24.52,済む,Itu saja.
2773,24.51,振り返る,Berbalik.
2774,24.48,執行,CONTOHASIL
2775,24.48,連載,Ini seri.
2776,24.47,香り,Bau
2777,24.45,フル,Penuh
2778,24.43,恐怖,Ketakutan.
2779,24.43,思い出,Ini adalah memori.
2780,24.43,日経,Kenaikan
2781,24.43,主人,Guru.
2782,24.41,一瞬,Sebentar saja.
2783,24.41,老人,Orang tua.
2784,24.4,頁,Halaman
2785,24.4,薄い,Cahaya
2786,24.39,当日,Harinya.
2787,24.38,早速,Sekarang.
2788,24.38,備える,Aku siap.
2789,24.36,関西,Kansai
2790,24.33,赤い,Merah
2791,24.33,神戸,Kobe
2792,24.31,時計,Jam
2793,24.26,割合,Rasio
2794,24.25,正式,Ini resmi.
2795,24.24,はいる,Ya.
2796,24.23,カラー,Warna
2797,24.23,出場,Penyusup
2798,24.22,残り,Tersisa
2799,24.19,まくる,Aku akan melakukannya.
2800,24.18,徹底,Sepanjang perjalanan.
2801,24.17,穴,Sebuah lubang.
2802,24.17,収録,Rekam
2803,24.16,板,Papan
2804,24.15,退職,Pensiun
2805,24.13,寄せる,Aku masuk.
2806,24.13,張る,Kencangkan
2807,24.12,入学,Pendaftaran
2808,24.12,週末,Akhir pekan.
2809,24.12,殺人,Pembunuhan.
2810,24.12,代理,Deputi.
2811,24.1,演出,Presentasi
2812,24.1,かる,Sudah dimulai.
2813,24.09,掃除,Membersihkan
2814,24.08,葉,Daun
2815,24.08,ショー,Shaw.
2816,24.06,公表,Publikasi
2817,24.05,インストール,Pasang
2818,24.02,育成,Membibit
2819,24.02,Ｋ,K
2820,24.02,実績,Bahan Peledak
2821,24.02,だけど,Tapi...
2822,24.01,伺い,Aku di sini.
2823,24.0,昼,Hari
2824,23.99,使い方,Cara pakai
2825,23.96,頼る,Aku akan mengandalkanmu.
2826,23.95,パー,Par.
2827,23.95,もはや,Tidak lagi.
2828,23.93,掛ける,Aku akan menyebutnya.
2829,23.92,源,Sumber
2830,23.91,店舗,Ini toko.
2831,23.91,大型,Besar
2832,23.91,キリスト教,Kekristenan
2833,23.9,ハイ,Hai.
2834,23.89,載せる,Pakailah.
2835,23.89,風呂,Mandi.
2836,23.89,生み出す,Aku akan berhasil.
2837,23.88,どっち,Aku tidak tahu.
2838,23.88,申し訳,Maafkan aku.
2839,23.87,安,Cucian
2840,23.86,ふと,Itu terjadi begitu saja.
2841,23.84,回転,Rotasi
2842,23.83,マイナス,Negatif
2843,23.82,チケット,Tiket.
2844,23.81,犠牲,Korban
2845,23.81,暴力,Kekerasan
2846,23.8,青,Biru
2847,23.8,細胞,Sel
2848,23.8,ことば,Kata
2849,23.78,ステージ,Panggung.
2850,23.78,はる,Ya.
2851,23.77,そる,Ya.
2852,23.77,ガイド,Panduan
2853,23.72,稼ぐ,Aku akan membuatnya.
2854,23.7,広げる,Bukalah Lebar - Lebar
2855,23.69,バイク,Sepeda.
2856,23.69,知事,Gubernur.
2857,23.68,勧め,REQUIREMEN
2858,23.67,起業,Startup
2859,23.67,ロボット,Robot
2860,23.65,戦闘,Pertempuran
2861,23.64,とこ,Ayo.
2862,23.64,たった,Hanya saja...
2863,23.63,１０月,Oktober
2864,23.59,聖書,1 / 2
2865,23.59,しいる,Saya lakukan.
2866,23.58,一気に,Semua sekaligus.
2867,23.57,移行,Transisi
2868,23.55,はじめて,Untuk pertama kalinya.
2869,23.55,正,Kanan
2870,23.55,生かす,Biarkan dia hidup.
2871,23.54,成績,Kelas
2872,23.53,通す,Mari kita pergi.
2873,23.51,お茶,{Y: i} Teh
2874,23.51,保つ,Simpan
2875,23.49,同じく,Sama.
2876,23.49,勝負,Bertarung.
2877,23.48,翌日,Keesokan harinya.
2878,23.47,票,Pilih
2879,23.46,直後,Setelah itu.
2880,23.45,左右,Kiri dan kanan
2881,23.44,やがて,(Tawa)
2882,23.42,決勝,Final
2883,23.42,所属,Aku miliknya.
2884,23.41,演じる,Aku akan melakukannya.
2885,23.4,恥ずかしい,Ini memalukan.
2886,23.4,キャラ,Karakter
2887,23.4,面倒,Itu menggangguku.
2888,23.4,奪う,Aku akan mengambilnya darimu.
2889,23.38,測定,Mengukur
2890,23.37,千葉,Cygnus
2891,23.34,ブック,Buku
2892,23.34,ダイエット,Diet
2893,23.33,提示,Presentasi
2894,23.33,救う,Selamatkan dia.
2895,23.32,弾,Balistik.
2896,23.31,リング,Cincin
2897,23.3,材,Bahan
2898,23.27,府,CENTRAL
2899,23.25,あんまり,Tidak juga.
2900,23.25,帯,Band
2901,23.23,たまたま,Ini kebetulan.
2902,23.22,ベッド,Tidur.
2903,23.2,基盤,Foundation
2904,23.16,ものすごい,"Oh, Tuhan."
2905,23.16,見学,Kunjungan
2906,23.16,応募,Aplikasi
2907,23.15,ファ,Fa
2908,23.14,枠,Bingkai
2909,23.12,厚生,Jaga dia.
2910,23.11,Ｃ,C
2911,23.11,配置,Perataan
2912,23.11,道具,Alat.
2913,23.1,ＣＤ,CD
2914,23.1,刑事,Detektif.
2915,23.09,勢い,Rutin
2916,23.09,Ｓ,S
2917,23.08,戻す,Letakkan kembali.
2918,23.08,対立,Konfrontasi
2919,23.08,散歩,Jalan-jalan.
2920,23.08,とれる,Aku bisa mendapatkannya.
2921,23.06,症状,Gejala
2922,23.06,入院,Rumah Sakit
2923,23.05,教員,Guru.
2924,23.04,キーワード,Kata Kunci
2925,23.01,中学,SMP.
2926,22.97,表面,Permukaan
2927,22.97,情勢,22 / 7
2928,22.97,広島,Hiroshima
2929,22.96,列,Kolom
2930,22.95,腹,Perut.
2931,22.93,玉,Balls.
2932,22.89,レビュー,Tinjau
2933,22.88,学会,Akademi.
2934,22.87,ニーズ,Perlu
2935,22.87,シンプル,Sederhana
2936,22.87,総会,Majelis Umum
2937,22.86,それに,Dan...
2938,22.86,うえ,Wow.
2939,22.86,通,Lewat.
2940,22.86,銘柄,Sebuah merek.
2941,22.85,数学,Matematika
2942,22.84,土曜日,Sabtu
2943,22.82,民,Rakyat
2944,22.82,やら,Lakukan.
2945,22.82,承認,Persetujuan
2946,22.81,なんとなく,Aku tidak tahu.
2947,22.8,下記,Bawah
2948,22.8,侵害,Invasi.
2949,22.8,増,Meningkatkan
2950,22.8,受賞,Penghargaan
2951,22.8,痛み,Sakit
2952,22.79,赤字,VOICE
2953,22.79,公,PRIVILEGE
2954,22.78,見かける,Aku melihatnya.
2955,22.77,腰,Pinggang.
2956,22.76,お世話,Itu bukan urusanmu.
2957,22.76,にかけて,Silakan duduk.
2958,22.74,次々,Satu demi satu.
2959,22.72,加工,Memproses
2960,22.72,中村,Nakamura
2961,22.71,書店,Toko Buku
2962,22.7,こる,"Oh, sial."
2963,22.69,緩和,Lega
2964,22.68,マイ,Mai.
2965,22.67,眠る,Tidur.
2966,22.66,ジャンル,Aliran
2967,22.65,プラン,Rencana.
2968,22.65,お気に入り,Kesukaanku.
2969,22.64,本当は,Sebenarnya...
2970,22.63,個性,Pribadi
2971,22.62,作戦,Operasi.
2972,22.6,指揮,Pak.
2973,22.6,技,Keterampilan
2974,22.6,たまに,Kadang-kadang.
2975,22.58,たま,Sekali-sekali.
2976,22.57,誤解,Salah paham
2977,22.57,偶然,Ini kebetulan.
2978,22.57,群,Grup
2979,22.54,少々,Sedikit.
2980,22.53,しく,Shh.
2981,22.52,高まる,Meningkatkan
2982,22.52,ショック,Shock.
2983,22.48,かう,Itu benar.
2984,22.45,確信,Keyakinan
2985,22.44,祈る,Berdoa
2986,22.43,意志,Will.
2987,22.42,ほる,Ya.
2988,22.42,捉える,Aku akan menangkapnya.
2989,22.4,知,Tahu.
2990,22.4,シート,Lembaran
2991,22.39,休む,Beristirahatlah.
2992,22.37,高校生,Anak SMA.
2993,22.35,きれる,Aku akan mendapatkannya.
2994,22.34,１２月,Desember
2995,22.34,パス,Path
2996,22.33,ログ,Log
2997,22.29,カフェ,Cafe
2998,22.27,暮らし,Hidup.
2999,22.27,勇気,Keberanian
3000,22.27,｀,Ini hanya masalah waktu.
3001,22.25,カテゴリー,Kategori
3002,22.25,売買,Perdagangan
3003,22.24,公演,"Ayo, ayo, ayo, ayo, ayo, ayo, ayo."
3004,22.24,画,Gambar
3005,22.19,制御,Kontrol
3006,22.18,食べ物,Makanan.
3007,22.18,尋ねる,Tanya
3008,22.17,にて,Ayo.
3009,22.15,キリスト,Kristus
3010,22.14,レッスン,Pelajaran
3011,22.13,法則,Hukum
3012,22.12,作者,Penulis
3013,22.12,メリット,Keuntungan
3014,22.09,文句,Itu tidak adil.
3015,22.08,馬鹿,Kau idiot.
3016,22.08,生まれ,Lahir.
3017,22.08,失礼,Permisi.
3018,22.05,博物館,Museum
3019,22.03,神社,Kuil.
3020,22.03,予防,Pencegahan
3021,22.03,正当,Dapat dibenarkan
3022,22.02,データベース,Basis Data
3023,22.02,レス,Les.
3024,22.01,うん,Ya.
3025,22.01,実家,Rumah.
3026,21.99,活性,Aktif.
3027,21.99,受信,Diterima
3028,21.98,山本,Yamamoto
3029,21.97,自主,Pertahanan diri.
3030,21.96,アンケート,Marginal
3031,21.96,確率,Probabilitas
3032,21.95,表明,Ekspresi
3033,21.94,美術館,Museum.
3034,21.93,解消,Dilarutkan
3035,21.92,オフィス,Kantor
3036,21.92,座,Duduk.
3037,21.91,苦手,Aku tidak menyukainya.
3038,21.91,爆発,Bahan Peledak
3039,21.9,欧米,Eropa Barat dan Amerika Serikat.
3040,21.9,肌,Kulit
3041,21.89,信仰,IMAN
3042,21.88,タイミング,Waktu
3043,21.88,現行,Sekarang
3044,21.87,降りる,Keluar.
3045,21.86,解放,Pembebasan.
3046,21.86,カバー,Tutup
3047,21.75,ペ,Pe.
3048,21.75,発電,Daya
3049,21.73,カット,"Cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut, cut,"
3050,21.71,デモ,Demonstrasi
3051,21.7,損害,Kerusakan
3052,21.68,小学生,Aku di sekolah dasar.
3053,21.68,判る,Aku tahu.
3054,21.67,取り組み,Strategi
3055,21.67,満たす,Isi
3056,21.66,トレーニング,Pelatihan
3057,21.66,アフリカ,AFRIKA
3058,21.65,踊る,Menari.
3059,21.64,悪,Jahat.
3060,21.63,妹,Suster.
3061,21.63,競馬,Balapan kuda.
3062,21.63,運命,Takdir.
3063,21.6,個々,Pribadi
3064,21.6,噂,FAMILUS
3065,21.59,コンピューター,Komputer
3066,21.59,３つ,Tiga.
3067,21.59,経費,Pengeluaran
3068,21.59,アル,Al.
3069,21.58,招く,Aku akan mengundangmu masuk.
3070,21.58,ええ,Ya.
3071,21.57,本書,Buku
3072,21.57,週刊,Mingguan
3073,21.57,建てる,Bangunan
3074,21.55,原,Asli
3075,21.55,仕様,Definisi
3076,21.55,マンガ,Sebuah buku komik.
3077,21.54,園,Taman
3078,21.54,電力,Daya
3079,21.52,オフ,Mati
3080,21.51,発達,Development
3081,21.51,来,Ayo.
3082,21.49,矛盾,Kontras
3083,21.48,ハウス,Rumah
3084,21.48,性能,Efisien
3085,21.48,立派,Bagus.
3086,21.45,役員,Petugas.
3087,21.45,大いに,Bagus.
3088,21.44,影,Bayangan
3089,21.44,象徴,Simbol
3090,21.44,性質,Alam
3091,21.43,送信,Kirim
3092,21.43,勝,Kita menang.
3093,21.42,わが国,Negara kita.
3094,21.4,あえて,Aku menantangmu.
3095,21.39,あー,Uh...
3096,21.39,上手,Bagus.
3097,21.38,圧力,Tekanan
3098,21.37,風邪,Flu.
3099,21.36,アウト,Keluar.
3100,21.35,スキル,Keterampilan
3101,21.33,得意,Aku hebat dalam hal itu.
3102,21.31,温度,Temperatur
3103,21.3,初心者,Pemula
3104,21.3,一生懸命,Aku bekerja keras.
3105,21.29,香港,Hong Kong
3106,21.28,急ぐ,Cepat.
3107,21.28,必死,Aku putus asa.
3108,21.27,ラーメン,ramen.
3109,21.27,わざわざ,Tidak apa-apa.
3110,21.25,そうすると,Itulah yang akan kulakukan.
3111,21.24,ゴミ,Sampah.
3112,21.24,ギター,Gitar
3113,21.24,だける,Tidak apa-apa.
3114,21.24,具合,Bagaimana perasaanmu?
3115,21.23,橋,Jembatan
3116,21.2,神経,Nerve
3117,21.2,作用,Aksi
3118,21.19,いわば,"Seolah-olah,"
3119,21.18,庭,Halaman
3120,21.18,本物,Ini nyata.
3121,21.17,過ぎ,Masa lalu
3122,21.16,意義,Artinya
3123,21.14,抑える,Aku akan terus ke bawah.
3124,21.14,新宿,Sama-sama.
3125,21.12,ライフ,Life
3126,21.12,延長,Kadaluarsa
3127,21.11,観客,Penonton.
3128,21.08,ＮＨＫ,NHK
3129,21.05,深刻,Serius
3130,21.05,ｍ,m
3131,21.05,ファンド,Dana
3132,21.04,恐ろしい,Mengerikan.
3133,21.03,路線,Baris
3134,21.03,又,Lagi.
3135,21.02,マシン,Mesin
3136,21.02,武器,Senjata.
3137,21.0,取締役,Direktur
3138,21.0,ほんの,Hanya saja...
3139,20.99,方面,Ke sanalah kita akan pergi.
3140,20.98,盛り上がる,Aku senang.
3141,20.97,自立,SELF - SELF
3142,20.97,荷物,Paketnya.
3143,20.97,録,Rekam
3144,20.97,ローン,Rone.
3145,20.95,直前,Tepat sebelumnya.
3146,20.94,見直し,Tinjau
3147,20.92,既存,Ada
3148,20.92,部品,Bagian
3149,20.9,アイデア,Sebuah ide.
3150,20.9,モン,Mong.
3151,20.89,かな,Aku tidak tahu.
3152,20.89,負う,Aku akan mengambilnya.
3153,20.88,ゆう,Sudah lama sekali.
3154,20.88,幹部,Boss.
3155,20.88,相変わらず,Seperti biasa.
3156,20.87,殆ど,Hampir.
3157,20.87,本気,Aku serius.
3158,20.86,最適,Terbaik
3159,20.84,きく,Itu saja.
3160,20.84,１１月,November
3161,20.84,地下,Bawah tanah.
3162,20.84,慎重,Hati-hati.
3163,20.83,アート,Seni.
3164,20.82,悩み,Itu menggangguku.
3165,20.8,ずいぶん,Sudah lama sekali.
3166,20.8,もしか,Aku tidak tahu.
3167,20.79,学問,Belajar
3168,20.78,髪,Rambut
3169,20.78,見通し,Prakiraan
3170,20.78,導く,Aku akan memandumu padanya.
3171,20.77,伸ばす,Menjangkau.
3172,20.76,マニュアル,Manual
3173,20.76,進出,Entrepreneur
3174,20.76,劇,Drama
3175,20.76,為替,Alternatif
3176,20.75,久々,Sudah lama sekali.
3177,20.75,エリア,Luas
3178,20.74,丁寧,Terima kasih banyak.
3179,20.74,総裁,Jenderal.
3180,20.73,視聴,Tilik
3181,20.73,あがる,Naik.
3182,20.73,我が,Ini aku.
3183,20.71,かた,"Oh, Tuhan."
3184,20.7,産,Lahir
3185,20.7,かしら,Head
3186,20.69,袋,Tas
3187,20.69,歯,Tooth.
3188,20.69,格差,Perbedaan
3189,20.67,区別,Perbedaan
3190,20.65,カレー,Curry.
3191,20.65,支払い,Membayar
3192,20.65,塩,Garam
3193,20.64,休日,Liburan.
3194,20.64,当社,Perusahaan kami.
3195,20.63,解析,Parsing
3196,20.62,課,Pelajaran.
3197,20.61,投げる,Aku akan membuangnya.
3198,20.61,上司,Boss.
3199,20.59,耐える,Aku akan bertahan.
3200,20.59,民営,Warga sipil.
3201,20.59,法的,Legal.
3202,20.58,呂,"Aku akan mengurusnya, aku akan mengurusnya."
3203,20.58,周年,Tahun ini.
3204,20.57,よー,Hei.
3205,20.55,従って,Oke.
3206,20.53,医,Dokter.
3207,20.52,吹く,Aku akan meledakkannya.
3208,20.52,しばしば,Sering.
3209,20.52,兄弟,Kakak.
3210,20.51,だいたい,Hampir.
3211,20.51,競技,Permainan
3212,20.51,辺り,Itu semua di sekitar kita.
3213,20.48,弾く,Aku akan bermain.
3214,20.48,当事者,Pihak lain.
3215,20.48,素直,Luruskan.
3216,20.44,決算,Menghitung
3217,20.44,スクール,Sekolah.
3218,20.44,あたる,Itu benar.
3219,20.43,はるか,Jauh.
3220,20.41,すむ,Tidak apa-apa.
3221,20.4,アーティスト,Artis
3222,20.4,大衆,FILIPINA
3223,20.4,回す,Belok
3224,20.39,人事,Itu manusia.
3225,20.39,勢力,Kekuatan
3226,20.39,キャンペーン,Kampanye.
3227,20.39,不正,Tak valid
3228,20.37,議長,Tn. Speaker.
3229,20.37,報酬,Hadiah
3230,20.37,マーケット,Pasar
3231,20.35,便,Kaktus
3232,20.32,応用,Aplikasi
3233,20.32,振興,Berkembang
3234,20.31,ソ連,U.S.S.R.
3235,20.31,だんだん,Ini semakin buruk.
3236,20.3,変換,Ubah
3237,20.29,減らす,Turunkan
3238,20.29,連邦,AS
3239,20.29,衝撃,Shock.
3240,20.29,レコード,Catatan
3241,20.29,今朝,Pagi ini.
3242,20.26,権限,Hak Akses
3243,20.26,充分,Cukup.
3244,20.24,きわめて,Sangat.
3245,20.23,動向,Dia bergerak.
3246,20.22,丸,Lingkaran
3247,20.2,ノウハウ,Bagaimana kau melakukannya?
3248,20.2,まい,Tidak.
3249,20.19,あくまで,Aku tidak tahu.
3250,20.17,怒り,Kemarahan
3251,20.17,掲げる,Nyala
3252,20.17,さる,Aku akan ke sana.
3253,20.16,療法,Pengobatan
3254,20.15,搭載,Substansi
3255,20.15,収益,Pendapatan
3256,20.15,それだけ,Itu saja.
3257,20.15,どんなに,Apapun yang terjadi.
3258,20.14,人数,Nomor
3259,20.14,縁,Batas
3260,20.14,ほんとう,Sungguh.
3261,20.13,政党,Pesta
3262,20.13,違法,Itu ilegal.
3263,20.12,スケジュール,Jadwal
3264,20.12,とくに,Aku tidak tahu.
3265,20.09,寂しい,Aku merindukanmu.
3266,20.09,来週,Minggu depan
3267,20.09,オランダ,Belanda
3268,20.07,本体,Tubuh utama
3269,20.05,塾,Maafkan aku.
3270,20.05,骨,Tulang
3271,20.05,我慢,Sabar.
3272,20.04,一生,Selama sisa hidupku.
3273,20.03,原作,Asli
3274,20.01,ベトナム,Vietnam
3275,20.01,底,Dasar
3276,19.99,仮に,"Nah, katakanlah ..."
3277,19.99,書き込む,Tulis
3278,19.99,ワーク,Kantor
3279,19.99,たいへん,"Oh, Tuhan."
3280,19.99,強力,Kuat.
3281,19.98,お尋ね,Aku bertanya.
3282,19.94,コミュニティ,Komunitas
3283,19.94,箇所,Bagian
3284,19.94,達す,Baiklah.
3285,19.94,族,% 1 yottameterunit-symbols
3286,19.94,陥る,Aku akan jatuh.
3287,19.93,貰う,Aku akan mengambilnya.
3288,19.92,圧倒的,Kewalahan.
3289,19.92,高橋,Takahashi
3290,19.9,免許,SIM.
3291,19.9,ユーロ,Euro
3292,19.88,付け,Pakailah.
3293,19.88,港,Port
3294,19.87,聖,Saint.
3295,19.84,アドレス,Alamat
3296,19.82,移る,Minggir.
3297,19.81,実力,FILIPINA
3298,19.81,裁判官,Yang Mulia.
3299,19.8,云う,Begini saja.
3300,19.8,なぜなら,Karena...
3301,19.8,恋人,Pacar.
3302,19.8,首都,Ibu kota
3303,19.77,質疑,Aku tidak tahu.
3304,19.76,なるほど,"Oh, begitu."
3305,19.75,住所,Alamat
3306,19.75,防ぐ,Pencegahan
3307,19.75,へん,Hah?
3308,19.74,書ける,Aku bisa menulis.
3309,19.74,歓迎,Selamat datang.
3310,19.74,なにか,Ada yang bisa kubantu?
3311,19.73,あたし,Aku.
3312,19.72,子育て,Membesarkan Anak
3313,19.71,黒い,Hitam.
3314,19.7,懐かしい,Itu sudah lama sekali.
3315,19.7,順,Urutan
3316,19.67,韻,Symphony
3317,19.67,作曲,Komposer
3318,19.66,失業,Pengangguran
3319,19.66,太郎,Taro.
3320,19.65,ぼる,Mm-hmm.
3321,19.64,客観,Prakiraan
3322,19.62,田舎,Rural
3323,19.62,任せる,Aku akan mengurusnya.
3324,19.61,鍵,Tombol
3325,19.6,勿論,Tentu saja.
3326,19.6,指す,Itulah yang saya bicarakan.
3327,19.58,リン,Lynn.
3328,19.57,￥,Maafkan aku.
3329,19.55,同社,Perusahaan.
3330,19.54,売上,Penjualan
3331,19.54,リアル,Nyata
3332,19.53,倫理,EQALITY
3333,19.52,中古,Dipakai
3334,19.5,卵,Telur
