rank,frequency,lemma,indonesia,lemma_length,kanji_ratio,cluster,kanji_category
2250,31.07,当局,Pihak berwenang.,2,1.0,0,Kanji
2251,31.07,書籍,Buku,2,1.0,0,Kanji
2252,31.07,挨拶,Katakan halo.,2,1.0,0,Kanji
2253,31.06,バイト,Byte,3,0.0,1,Non-Kanji
2254,31.05,ガス,Gus.,2,0.0,0,Non-Kanji
2255,31.05,受験,WAWANCARA,2,1.0,0,Kanji
2256,31.03,オレ,Aku.,2,0.0,0,Non-Kanji
2257,31.02,観察,Observasi,2,1.0,0,Kanji
2258,30.97,もう一度,Lagi.,4,0.5,1,Kanji
2259,30.96,要因,Faktor,2,1.0,0,Kanji
2260,30.96,促進,Proliferasi,2,1.0,0,Kanji
2261,30.93,それでは,Baiklah.,4,0.0,1,Non-Kanji
2262,30.86,税金,Pajak,2,1.0,0,Kanji
2263,30.84,異常,Abnormal.,2,1.0,0,Kanji
2264,30.81,無事,Dia baik-baik saja.,2,1.0,0,Kanji
2265,30.8,合意,Kami setuju.,2,1.0,0,Kanji
2266,30.78,戦う,Pertempuran,2,0.5,0,Kanji
2267,30.76,統計,Statistik,2,1.0,0,Kanji
2268,30.75,渡る,Menyebrang.,2,0.5,0,Kanji
2269,30.67,キー,Kunci,2,0.0,0,Non-Kanji
2270,30.66,たる,Pow.,2,0.0,0,Non-Kanji
2271,30.66,服,Pakaianmu.,1,1.0,0,Kanji
2272,30.65,領域,Luas,2,1.0,0,Kanji
2273,30.65,不可能,Mustahil.,3,1.0,0,Kanji
2274,30.64,普及,Proliferasi,2,1.0,0,Kanji
2275,30.62,周囲,Perimeter,2,1.0,0,Kanji
2276,30.62,お前,Kau.,2,0.5,0,Kanji
2277,30.6,見事,Indah sekali.,2,1.0,0,Kanji
2278,30.6,一切,Tidak ada.,2,1.0,0,Kanji
2279,30.59,素材,Bahan,2,1.0,0,Kanji
2280,30.54,新規,Baru,2,1.0,0,Kanji
2281,30.53,児童,Anak,2,1.0,0,Kanji
2282,30.51,後ろ,Di belakangmu.,2,0.5,0,Kanji
2283,30.51,自民党,Partai Demokrat.,3,1.0,0,Kanji
2284,30.5,把握,Tunggu.,2,1.0,0,Kanji
2285,30.5,前後,Mundur,2,1.0,0,Kanji
2286,30.49,又は,Atau...,2,0.5,0,Kanji
2287,30.45,リリース,Rilis,4,0.0,1,Non-Kanji
2288,30.42,経つ,Sudah lama sekali.,2,0.5,0,Kanji
2289,30.42,権力,Daya,2,1.0,0,Kanji
2290,30.41,細かい,Tidak apa-apa.,3,0.3333333333333333,0,Kanji
2291,30.41,趣旨,Aku tidak tahu apa yang kau bicarakan.,2,1.0,0,Kanji
2292,30.38,やや,Sedikit.,2,0.0,0,Non-Kanji
2293,30.3,女子,Gadis.,2,1.0,0,Kanji
2294,30.28,’,Ini hanya masalah waktu.,1,0.0,0,Non-Kanji
2295,30.27,予測,Prakiraan,2,1.0,0,Kanji
2296,30.27,自衛隊,Pertahanan diri.,3,1.0,0,Kanji
2297,30.26,´,Ini hanya masalah waktu.,1,0.0,0,Non-Kanji
2298,30.25,オリジナル,Asli,5,0.0,1,Non-Kanji
2299,30.24,びっくり,"Oh, Tuhan.",4,0.0,1,Non-Kanji
2300,30.24,常識,Akal sehat,2,1.0,0,Kanji
2301,30.23,辰,Ini hanya masalah waktu.,1,1.0,0,Kanji
2302,30.22,すっかり,"Oh, Tuhan.",4,0.0,1,Non-Kanji
2303,30.22,いよいよ,Ini dia.,4,0.0,1,Non-Kanji
2304,30.2,出会い,Rapat,3,0.6666666666666666,0,Kanji
2305,30.2,緊張,Gugup.,2,1.0,0,Kanji
2306,30.19,〉,Ini hanya masalah waktu.,1,0.0,0,Non-Kanji
2307,30.17,ねえ,Hei.,2,0.0,0,Non-Kanji
2308,30.16,沢山,Banyak.,2,1.0,0,Kanji
2309,30.15,職,Job,1,1.0,0,Kanji
2310,30.14,博士,Dokter.,2,1.0,0,Kanji
2311,30.14,〈,Ini hanya masalah waktu.,1,0.0,0,Non-Kanji
2312,30.11,返す,Aku akan mengembalikannya.,2,0.5,0,Kanji
2313,30.11,教科書,Buku Teks,3,1.0,0,Kanji
2314,30.08,先週,Minggu lalu,2,1.0,0,Kanji
2315,30.07,近づく,Mendekatlah,3,0.3333333333333333,0,Kanji
2316,30.06,がち,Sangat mudah.,2,0.0,0,Non-Kanji
2317,30.06,問い合わせ,Permintaan,5,0.4,1,Kanji
2318,30.05,２月,Februari,2,0.5,0,Kanji
2319,30.03,朝鮮,Korea,2,1.0,0,Kanji
2320,30.03,余裕,Kau bisa membelinya.,2,1.0,0,Kanji
2321,30.03,代わり,Alternatif,3,0.3333333333333333,0,Kanji
2322,30.03,品質,Kualitas,2,1.0,0,Kanji
2323,30.02,太陽,Matahari,2,1.0,0,Kanji
2324,29.99,とく,"Oh, Tuhan.",2,0.0,0,Non-Kanji
2325,29.99,勤務,Bekerja.,2,1.0,0,Kanji
2326,29.98,テキスト,Teks,4,0.0,1,Non-Kanji
2327,29.98,水準,Tingkat,2,1.0,0,Kanji
2328,29.96,作り,Buat,2,0.5,0,Kanji
2329,29.96,意図,Ini rencana.,2,1.0,0,Kanji
2330,29.96,公務員,Pelayan publik.,3,1.0,0,Kanji
2331,29.95,復活,RESURREKSI,2,1.0,0,Kanji
2332,29.95,用語,Kata,2,1.0,0,Kanji
2333,29.94,進行,Kemajuan,2,1.0,0,Kanji
2334,29.92,近所,NeighborhoodName,2,1.0,0,Kanji
2335,29.91,育つ,Tumbuh dewasa.,2,0.5,0,Kanji
2336,29.89,程,Tidak banyak.,1,1.0,0,Kanji
2337,29.88,無駄,Kau membuang-buang waktumu.,2,1.0,0,Kanji
2338,29.87,入り,Masuklah.,2,0.5,0,Kanji
2339,29.85,講師,Aku seorang dosen.,2,1.0,0,Kanji
2340,29.85,桜,Sakura.,1,1.0,0,Kanji
2341,29.81,占める,Sebagian.,3,0.3333333333333333,0,Kanji
2342,29.81,郵便,Postal,2,1.0,0,Kanji
2343,29.79,パワー,Daya,3,0.0,1,Non-Kanji
2344,29.79,候補,Konservatif,2,1.0,0,Kanji
2345,29.77,気付く,Aku tahu.,3,0.6666666666666666,0,Kanji
2346,29.77,指示,Perintah,2,1.0,0,Kanji
2347,29.75,留学,Aku belajar di luar negeri.,2,1.0,0,Kanji
2348,29.72,いくつ,Berapa umurmu?,3,0.0,1,Non-Kanji
2349,29.71,ミス,Nona.,2,0.0,0,Non-Kanji
2350,29.71,返事,Jawaban,2,1.0,0,Kanji
2351,29.68,物価,Harga,2,1.0,0,Kanji
2352,29.68,創造,Penciptaan,2,1.0,0,Kanji
2353,29.67,直す,Aku akan memperbaikinya.,2,0.5,0,Kanji
2354,29.66,覆る,Ini tertutup.,2,0.5,0,Kanji
2355,29.64,統一,unified,2,1.0,0,Kanji
2356,29.62,たび,Sekali-sekali.,2,0.0,0,Non-Kanji
2357,29.6,々,Hei.,1,0.0,0,Non-Kanji
2358,29.58,辺,Permukaan,1,1.0,0,Kanji
2359,29.58,暮らす,Hidup,3,0.3333333333333333,0,Kanji
2360,29.58,致す,Aku akan melakukannya.,2,0.5,0,Kanji
2361,29.58,テーブル,Tabel,4,0.0,1,Non-Kanji
2362,29.56,苦労,Kesulitan,2,1.0,0,Kanji
2363,29.54,漫画,Sebuah buku komik.,2,1.0,0,Kanji
2364,29.5,進化,EVOLUSI,2,1.0,0,Kanji
2365,29.5,飛行機,Sebuah pesawat.,3,1.0,0,Kanji
2366,29.49,マガジン,Majalah,4,0.0,1,Non-Kanji
2367,29.49,手術,Operasi,2,1.0,0,Kanji
2368,29.45,み,M-H-O-N-N-E.,1,0.0,0,Non-Kanji
2369,29.45,リーグ,Liga,3,0.0,1,Non-Kanji
2370,29.42,それとも,Atau...,4,0.0,1,Non-Kanji
2371,29.41,ツアー,Sebuah tur.,3,0.0,1,Non-Kanji
2372,29.41,見解,Sudut pandangmu.,2,1.0,0,Kanji
2373,29.39,連合,Serikat,2,1.0,0,Kanji
2374,29.36,ホント,Sungguh.,3,0.0,1,Non-Kanji
2375,29.36,貿易,Perdagangan,2,1.0,0,Kanji
2376,29.34,発想,Imajinasi,2,1.0,0,Kanji
2377,29.33,静か,Diam.,2,0.5,0,Kanji
2378,29.31,経過,The Way,2,1.0,0,Kanji
2379,29.31,いきなり,"Tiba-tiba,",4,0.0,1,Non-Kanji
2380,29.3,専用,Ini untukmu.,2,1.0,0,Kanji
2381,29.29,停止,Berhenti,2,1.0,0,Kanji
2382,29.28,食う,Aku akan makan.,2,0.5,0,Kanji
2383,29.28,隠す,Sembunyikan,2,0.5,0,Kanji
2384,29.26,クリスマス,Natal.,5,0.0,1,Non-Kanji
2385,29.26,化学,Kimia,2,1.0,0,Kanji
2386,29.23,院,Rumah sakit.,1,1.0,0,Kanji
2387,29.22,番目,Kedua,2,1.0,0,Kanji
2388,29.22,事前,Awal,2,1.0,0,Kanji
2389,29.22,ラン,Lan.,2,0.0,0,Non-Kanji
2390,29.19,匹,Ini adalah... itu adalah... itu adalah... itu adalah... itu adalah... itu adalah,1,1.0,0,Kanji
2391,29.19,災害,Bencana,2,1.0,0,Kanji
2392,29.17,ピアノ,Piano.,3,0.0,1,Non-Kanji
2393,29.16,連携,Kolaborasi,2,1.0,0,Kanji
2394,29.16,信用,Kepercayaan.,2,1.0,0,Kanji
2395,29.15,増やす,Meningkatkan,3,0.3333333333333333,0,Kanji
2396,29.14,優れる,Bagus.,3,0.3333333333333333,0,Kanji
2397,29.12,狭い,Kecil,2,0.5,0,Kanji
2398,29.11,両親,Orang tuaku.,2,1.0,0,Kanji
2399,29.06,悲しい,Menyedihkan.,3,0.3333333333333333,0,Kanji
2400,28.98,高度,Ketinggian,2,1.0,0,Kanji
2401,28.97,熱い,Panas.,2,0.5,0,Kanji
2402,28.95,宣伝,Propaganda,2,1.0,0,Kanji
2403,28.95,症,Penyakitnya,1,1.0,0,Kanji
2404,28.92,支払う,Aku akan membayarmu.,3,0.6666666666666666,0,Kanji
2405,28.9,迷惑,Kau menyebalkan.,2,1.0,0,Kanji
2406,28.89,切れる,Cut.,3,0.3333333333333333,0,Kanji
2407,28.86,砲,Senjata.,1,1.0,0,Kanji
2408,28.85,主要,Utama,2,1.0,0,Kanji
2409,28.85,オーストラリア,AUSTRALIA,7,0.0,1,Non-Kanji
2410,28.85,辛い,Sulit.,2,0.5,0,Kanji
2411,28.84,配信,Pengiriman,2,1.0,0,Kanji
2412,28.84,ゴール,Sasaran,3,0.0,1,Non-Kanji
2413,28.83,確立,Ditetapkan,2,1.0,0,Kanji
2414,28.79,統合,Integrasi,2,1.0,0,Kanji
2415,28.78,コンサート,Sebuah konser.,5,0.0,1,Non-Kanji
2416,28.78,謎,Misteri,1,1.0,0,Kanji
2417,28.77,時半,Di pertengahan masa lalu.,2,1.0,0,Kanji
2418,28.77,何故,Kenapa?,2,1.0,0,Kanji
2419,28.77,げ,Ayo.,1,0.0,0,Non-Kanji
2420,28.76,ノート,Catatan,3,0.0,1,Non-Kanji
2421,28.75,それなり,Itulah yang saya bicarakan.,4,0.0,1,Non-Kanji
2422,28.74,ニューヨーク,New York.,6,0.0,1,Non-Kanji
2423,28.72,物理,Fisika,2,1.0,0,Kanji
2424,28.72,８月,Agustus,2,0.5,0,Kanji
2425,28.66,恋,Cinta.,1,1.0,0,Kanji
2426,28.65,ストーリー,Cerita,5,0.0,1,Non-Kanji
2427,28.64,ゼロ,Nol.,2,0.0,0,Non-Kanji
2428,28.64,笑顔,Senyum.,2,1.0,0,Kanji
2429,28.64,熱,Panas,1,1.0,0,Kanji
2430,28.63,自動,Otomatis,2,1.0,0,Kanji
2431,28.62,圏,TERM,1,1.0,0,Kanji
2432,28.6,メモ,Catatan,2,0.0,0,Non-Kanji
2433,28.6,アドバイス,Aku akan memberimu beberapa saran.,5,0.0,1,Non-Kanji
2434,28.58,知的,Intelektual.,2,1.0,0,Kanji
2435,28.56,男女,Pria dan wanita.,2,1.0,0,Kanji
2436,28.55,よろしく,Senang bertemu denganmu.,4,0.0,1,Non-Kanji
2437,28.52,緊急,Darurat.,2,1.0,0,Kanji
2438,28.51,気に入る,Kau akan menyukainya.,4,0.5,1,Kanji
2439,28.49,動作,Aksi,2,1.0,0,Kanji
2440,28.47,輸出,Ekspor,2,1.0,0,Kanji
2441,28.45,落ち着く,Tenang.,4,0.5,1,Kanji
2442,28.42,かわいい,Itu lucu.,4,0.0,1,Non-Kanji
2443,28.42,先輩,Aku tidak tahu apa yang kau bicarakan.,2,1.0,0,Kanji
2444,28.41,通じる,Ayo pergi dari sini.,3,0.3333333333333333,0,Kanji
2445,28.39,本格,Nyata.,2,1.0,0,Kanji
2446,28.36,合併,Interupsi,2,1.0,0,Kanji
2447,28.36,すら,Bahkan tidak.,2,0.0,0,Non-Kanji
2448,28.36,反省,Tanggung Jawab,2,1.0,0,Kanji
2449,28.3,像,Gambar,1,1.0,0,Kanji
2450,28.3,中身,Isi,2,1.0,0,Kanji
2451,28.29,すばらしい,Itu bagus.,5,0.0,1,Non-Kanji
2452,28.29,製作,Produksi,2,1.0,0,Kanji
2453,28.28,サン,Matahari,2,0.0,0,Non-Kanji
2454,28.28,牛,Sapi.,1,1.0,0,Kanji
2455,28.27,診断,Diagnosis,2,1.0,0,Kanji
2456,28.25,要望,Permintaan,2,1.0,0,Kanji
2457,28.23,ストレス,Stres,4,0.0,1,Non-Kanji
2458,28.23,工業,Industrial.,2,1.0,0,Kanji
2459,28.21,ボタン,Tombol,3,0.0,1,Non-Kanji
2460,28.2,アン,Anne.,2,0.0,0,Non-Kanji
2461,28.18,試す,Aku akan mencoba.,2,0.5,0,Kanji
2462,28.13,うる,"Tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak.",2,0.0,0,Non-Kanji
2463,28.13,ますます,Lagi dan lagi.,4,0.0,1,Non-Kanji
2464,28.12,崩壊,Decay,2,1.0,0,Kanji
2465,28.12,真実,Kebenaran.,2,1.0,0,Kanji
2466,28.12,去る,Pergi.,2,0.5,0,Kanji
2467,28.11,プレー,Mainkan.,3,0.0,1,Non-Kanji
2468,28.11,適当,Ini hal yang benar untuk dilakukan.,2,1.0,0,Kanji
2469,28.08,国立,Nasional,2,1.0,0,Kanji
2470,28.06,貼る,Aku akan memakainya.,2,0.5,0,Kanji
2471,28.05,珍しい,Ini jarang terjadi.,3,0.3333333333333333,0,Kanji
2472,28.03,計,Peringkat,1,1.0,0,Kanji
2473,28.01,喜び,JOY,2,0.5,0,Kanji
2474,28.0,石油,MINYAK,2,1.0,0,Kanji
2475,27.98,大幅,Besar,2,1.0,0,Kanji
2476,27.98,自治体,Otonom,3,1.0,0,Kanji
2477,27.96,をもって,Ambillah.,4,0.0,1,Non-Kanji
2478,27.96,せっかく,Maafkan aku.,4,0.0,1,Non-Kanji
2479,27.95,天,HEAVEN,1,1.0,0,Kanji
2480,27.94,ブッシュ,Bush,4,0.0,1,Non-Kanji
2481,27.94,だめ,Tidak.,2,0.0,0,Non-Kanji
2482,27.93,貢献,Kontribusi,2,1.0,0,Kanji
2483,27.92,眺める,Perhatikan.,3,0.3333333333333333,0,Kanji
2484,27.92,配慮,Pertimbangan,2,1.0,0,Kanji
2485,27.92,ごろ,Uh-huh.,2,0.0,0,Non-Kanji
2486,27.91,サイド,Samping,3,0.0,1,Non-Kanji
2487,27.89,若干,Sedikit.,2,1.0,0,Kanji
2488,27.88,スペース,Ruang,4,0.0,1,Non-Kanji
2489,27.87,つい,Aku tidak tahu.,2,0.0,0,Non-Kanji
2490,27.87,主催,Atur.,2,1.0,0,Kanji
2491,27.87,書類,Kertas,2,1.0,0,Kanji
2492,27.87,きょう,Hari ini,3,0.0,1,Non-Kanji
2493,27.87,韓,K-K-K-K-K-K-K-K.,1,1.0,0,Kanji
2494,27.85,調子,Bagaimana kabarmu?,2,1.0,0,Kanji
2495,27.85,ミサイル,Rudalnya.,4,0.0,1,Non-Kanji
2496,27.84,き,Hei.,1,0.0,0,Non-Kanji
2497,27.83,単語,Kata,2,1.0,0,Kanji
2498,27.81,パリ,Paris,2,0.0,0,Non-Kanji
2499,27.79,渡す,Aku akan memberikannya kepada Anda.,2,0.5,0,Kanji
2500,27.77,表情,Wajah,2,1.0,0,Kanji
2501,27.76,基地,Dasar,2,1.0,0,Kanji
2502,27.76,速い,Ini cepat.,2,0.5,0,Kanji
2503,27.75,気がつく,Aku tahu.,4,0.25,1,Kanji
2504,27.75,ホール,Hall,3,0.0,1,Non-Kanji
2505,27.74,駐車,Parkir,2,1.0,0,Kanji
2506,27.73,比較的,Relatif,3,1.0,0,Kanji
2507,27.73,ガラス,Gelas,3,0.0,1,Non-Kanji
2508,27.72,景気,Bisnis,2,1.0,0,Kanji
2509,27.71,世間,Dunia.,2,1.0,0,Kanji
2510,27.69,え,Apa?,1,0.0,0,Non-Kanji
2511,27.68,植物,Tanaman,2,1.0,0,Kanji
2512,27.68,カー,Mobil.,2,0.0,0,Non-Kanji
2513,27.68,あり方,Aku tidak tahu.,3,0.3333333333333333,0,Kanji
2514,27.68,単なる,Hanya saja...,3,0.3333333333333333,0,Kanji
2515,27.63,セ,Se.,1,0.0,0,Non-Kanji
2516,27.63,楽しめる,Ini menyenangkan.,4,0.25,1,Kanji
2517,27.62,戦い,Pertempuran,2,0.5,0,Kanji
2518,27.62,自治,Pengendalian Diri,2,1.0,0,Kanji
2519,27.6,限界,Batas,2,1.0,0,Kanji
2520,27.6,ベスト,Terbaik.,3,0.0,1,Non-Kanji
2521,27.59,トイレ,Toilet,3,0.0,1,Non-Kanji
2522,27.59,ただいま,Aku pulang.,4,0.0,1,Non-Kanji
2523,27.57,抜く,Aku akan menariknya keluar.,2,0.5,0,Kanji
2524,27.57,反映,Refleksi,2,1.0,0,Kanji
2525,27.57,転換,Perubahan,2,1.0,0,Kanji
2526,27.56,美,Kecantikan,1,1.0,0,Kanji
2527,27.56,タイム,Waktu,3,0.0,1,Non-Kanji
2528,27.56,形態,Formulir,2,1.0,0,Kanji
2529,27.54,振る,Berayun.,2,0.5,0,Kanji
2530,27.54,状,Huruf,1,1.0,0,Kanji
2531,27.53,嫌い,Aku tidak menyukainya.,2,0.5,0,Kanji
2532,27.52,奴,Dia ada di sini.,1,1.0,0,Kanji
2533,27.51,感染,Terinfeksi,2,1.0,0,Kanji
2534,27.49,逃げる,Lari.,3,0.3333333333333333,0,Kanji
2535,27.46,根拠,Dasar,2,1.0,0,Kanji
2536,27.46,こうして,Seperti ini.,4,0.0,1,Non-Kanji
2537,27.45,原稿,Teks,2,1.0,0,Kanji
2538,27.43,イエス,Ya.,3,0.0,1,Non-Kanji
2539,27.42,そろそろ,Kurasa sudah waktunya.,4,0.0,1,Non-Kanji
2540,27.41,相場,Harga,2,1.0,0,Kanji
2541,27.4,抜ける,Aku keluar.,3,0.3333333333333333,0,Kanji
2542,27.39,合格,Passed,2,1.0,0,Kanji
2543,27.39,記載,Catatan,2,1.0,0,Kanji
2544,27.38,お母さん,Ibu.,4,0.25,1,Kanji
2545,27.36,狙う,Bidik.,2,0.5,0,Kanji
2546,27.33,地図,Peta,2,1.0,0,Kanji
2547,27.33,人達,Orang-orang.,2,1.0,0,Kanji
2548,27.32,ダウンロード,Unduh,6,0.0,1,Non-Kanji
2549,27.32,大学院,Kuliah.,3,1.0,0,Kanji
2550,27.32,$,$,1,0.0,0,Non-Kanji
2551,27.3,拒否,Tolak,2,1.0,0,Kanji
2552,27.28,腕,Lengannya.,1,1.0,0,Kanji
2553,27.27,はい,"Ya, Pak.",2,0.0,0,Non-Kanji
2554,27.26,あう,Uh-huh.,2,0.0,0,Non-Kanji
2555,27.26,遅れる,Aku terlambat.,3,0.3333333333333333,0,Kanji
2556,27.25,鈴木,Suzuki.,2,1.0,0,Kanji
2557,27.23,最低,"Oh, sial.",2,1.0,0,Kanji
2558,27.2,微妙,Lembut.,2,1.0,0,Kanji
2559,27.2,見方,Pandangan,2,1.0,0,Kanji
2560,27.19,結ぶ,Sambung,2,0.5,0,Kanji
2561,27.17,最,Puncak,1,1.0,0,Kanji
2562,27.17,下げる,Lebih rendah.,3,0.3333333333333333,0,Kanji
2563,27.12,削減,Reduksi,2,1.0,0,Kanji
2564,27.12,Ｍ,M,1,0.0,0,Non-Kanji
2565,27.11,青年,Anak muda.,2,1.0,0,Kanji
2566,27.11,我が国,Negaraku.,3,0.6666666666666666,0,Kanji
2567,27.1,助ける,Aku akan membantumu.,3,0.3333333333333333,0,Kanji
2568,27.1,役立つ,Ini berguna.,3,0.6666666666666666,0,Kanji
2569,27.1,しかしながら,(Tawa),6,0.0,1,Non-Kanji
2570,27.08,つぶやき,Menggerutu,4,0.0,1,Non-Kanji
2571,27.06,劇場,Teater,2,1.0,0,Kanji
2572,27.06,向く,Aku segera ke sana.,2,0.5,0,Kanji
2573,27.05,強調,Sorot,2,1.0,0,Kanji
2574,27.03,要するに,"Intinya adalah,",4,0.25,1,Kanji
2575,27.0,防衛,Pembela.,2,1.0,0,Kanji
2576,26.98,ロンドン,London.,4,0.0,1,Non-Kanji
2577,26.96,世界中,Sekeliling Dunia,3,1.0,0,Kanji
2578,26.96,初期,Awal,2,1.0,0,Kanji
2579,26.96,ホ,Uh-oh.,1,0.0,0,Non-Kanji
2580,26.94,機構,Organisasi,2,1.0,0,Kanji
2581,26.93,どうやら,Sepertinya.,4,0.0,1,Non-Kanji
2582,26.9,床,Di lantai.,1,1.0,0,Kanji
2583,26.89,真剣,Aku serius.,2,1.0,0,Kanji
2584,26.86,おすすめ,Sama-sama.,4,0.0,1,Non-Kanji
2585,26.86,講義,Kelas,2,1.0,0,Kanji
2586,26.85,術,Art,1,1.0,0,Kanji
2587,26.83,対処,Menghadapi,2,1.0,0,Kanji
2588,26.83,隊,Mari kita pergi!,1,1.0,0,Kanji
2589,26.83,読める,Aku bisa membaca.,3,0.3333333333333333,0,Kanji
2590,26.82,実質,Realistis,2,1.0,0,Kanji
2591,26.79,貴重,Ini sangat berharga.,2,1.0,0,Kanji
2592,26.79,メートル,m,4,0.0,1,Non-Kanji
2593,26.78,もしくは,Atau,4,0.0,1,Non-Kanji
2594,26.77,収集,Mengumpulkan,2,1.0,0,Kanji
2595,26.76,▽,Ini hanya masalah waktu.,1,0.0,0,Non-Kanji
2596,26.74,工夫,Inovasi.,2,1.0,0,Kanji
2597,26.74,大手,Orang penting.,2,1.0,0,Kanji
2598,26.73,じゃあ,Bye.,3,0.0,1,Non-Kanji
2599,26.72,諸国,Bangsa - Bangsa,2,1.0,0,Kanji
2600,26.7,幅,Lebar,1,1.0,0,Kanji
2601,26.7,蠅,itu hanya masalah waktu sebelum terlambat.,1,1.0,0,Kanji
2602,26.7,そば,Tutup,2,0.0,0,Non-Kanji
2603,26.68,迫る,Aku harus keluar dari sini.,2,0.5,0,Kanji
2604,26.68,監視,Perhatikan.,2,1.0,0,Kanji
2605,26.67,リーダー,Pemimpin,4,0.0,1,Non-Kanji
2606,26.66,認定,Disertifikasi,2,1.0,0,Kanji
2607,26.66,必ずしも,Belum tentu.,4,0.25,1,Kanji
2608,26.66,文庫,Pustaka,2,1.0,0,Kanji
2609,26.65,サーバー,Server,4,0.0,1,Non-Kanji
2610,26.61,各種,Variances,2,1.0,0,Kanji
2611,26.61,節,Paragraf,1,1.0,0,Kanji
2612,26.59,福岡,Zheng,2,1.0,0,Kanji
2613,26.57,肩,Bahu.,1,1.0,0,Kanji
2614,26.57,反,Balik,1,1.0,0,Kanji
2615,26.56,すると,Dan kemudian...,3,0.0,1,Non-Kanji
2616,26.56,券,Tiket.,1,1.0,0,Kanji
2617,26.53,意外,Aku tidak mengharapkan itu.,2,1.0,0,Kanji
2618,26.47,帰り,Aku akan pulang.,2,0.5,0,Kanji
2619,26.47,容疑,Tuduhan,2,1.0,0,Kanji
2620,26.47,命令,Perintah.,2,1.0,0,Kanji
2621,26.47,明治,Akiji.,2,1.0,0,Kanji
2622,26.46,向こう,Di sana.,3,0.3333333333333333,0,Kanji
2623,26.46,根本,Akarnya,2,1.0,0,Kanji
2624,26.45,重視,Ini penting.,2,1.0,0,Kanji
2625,26.44,ワン,Satu.,2,0.0,0,Non-Kanji
2626,26.41,時々,Kadang-kadang.,2,0.5,0,Kanji
2627,26.41,指,Jari,1,1.0,0,Kanji
2628,26.38,依存,Ketergantungan,2,1.0,0,Kanji
2629,26.37,医学,MEDICINE,2,1.0,0,Kanji
2630,26.36,手続,Kami sedang mengusahakannya.,2,1.0,0,Kanji
2631,26.36,けっこう,"Tidak, terima kasih.",4,0.0,1,Non-Kanji
2632,26.33,株主,Pemegang Saham,2,1.0,0,Kanji
2633,26.33,プラス,Plus.,3,0.0,1,Non-Kanji
2634,26.32,行ける,Mari kita pergi.,3,0.3333333333333333,0,Kanji
2635,26.3,刺激,Stimulasi,2,1.0,0,Kanji
2636,26.28,合理,Itu masuk akal.,2,1.0,0,Kanji
2637,26.27,中間,Tengah,2,1.0,0,Kanji
2638,26.26,鉄道,Rel,2,1.0,0,Kanji
2639,26.25,ゆ,Sw.,1,0.0,0,Non-Kanji
2640,26.23,従う,Patuhi,2,0.5,0,Kanji
2641,26.23,暗い,Gelap.,2,0.5,0,Kanji
2642,26.19,入手,Ambil.,2,1.0,0,Kanji
2643,26.19,才,Jenius.,1,1.0,0,Kanji
2644,26.19,名古屋,Nagoya,3,1.0,0,Kanji
2645,26.18,叫ぶ,Aku akan berteriak.,2,0.5,0,Kanji
2646,26.18,めぐる,Ganti.,3,0.0,1,Non-Kanji
2647,26.16,現,Di sini.,1,1.0,0,Kanji
2648,26.16,こんにちは,Halo.,5,0.0,1,Non-Kanji
2649,26.16,注,Payudara,1,1.0,0,Kanji
2650,26.1,組む,Formulir,2,0.5,0,Kanji
2651,26.08,相,Saudaraku.,1,1.0,0,Kanji
2652,26.05,ロー,Lo.,2,0.0,0,Non-Kanji
2653,26.04,印刷,Cetak,2,1.0,0,Kanji
2654,26.02,帰国,Homecoming,2,1.0,0,Kanji
2655,26.01,発揮,Ya.,2,1.0,0,Kanji
2656,25.99,市町村,Kota,3,1.0,0,Kanji
2657,25.98,何らかの,Semacam...,4,0.25,1,Kanji
2658,25.96,規則,Aturan,2,1.0,0,Kanji
2659,25.93,賃金,Bayar,2,1.0,0,Kanji
2660,25.93,一致,Cocok,2,1.0,0,Kanji
2661,25.91,バージョン,Versi,5,0.0,1,Non-Kanji
2662,25.91,奥,Mundur,1,1.0,0,Kanji
2663,25.89,マーケティング,Pemasaran,7,0.0,1,Non-Kanji
2664,25.87,主体,Cyclone,2,1.0,0,Kanji
2665,25.87,トラブル,Masalah.,4,0.0,1,Non-Kanji
2666,25.86,原告,Penggugat.,2,1.0,0,Kanji
2667,25.86,経る,Langkah demi langkah.,2,0.5,0,Kanji
2668,25.84,部長,"Hei, bos.",2,1.0,0,Kanji
2669,25.83,習慣,Kebiasaan,2,1.0,0,Kanji
2670,25.83,筆者,Penulis,2,1.0,0,Kanji
2671,25.81,以内,Penyusup,2,1.0,0,Kanji
2672,25.81,だり,Aku tidak tahu.,2,0.0,0,Non-Kanji
2673,25.79,カナダ,"(Untuk keterangan lengkap, lihat publikasinya)",3,0.0,1,Non-Kanji
2674,25.78,校,Sekolah,1,1.0,0,Kanji
2675,25.74,ロック,Kunci,3,0.0,1,Non-Kanji
2676,25.74,模様,Rancangan,2,1.0,0,Kanji
2677,25.72,日曜日,Minggu,3,1.0,0,Kanji
2678,25.72,目立つ,Dia ada benarnya.,3,0.6666666666666666,0,Kanji
2679,25.7,速度,Kecepatan,2,1.0,0,Kanji
2680,25.69,焼く,Bakar.,2,0.5,0,Kanji
2681,25.69,外部,Outer,2,1.0,0,Kanji
2682,25.68,抵抗,Melawan.,2,1.0,0,Kanji
